x,Infections raising,Infections neutral,Infections falling
0,3.3090693485645435,3.1378133149791836,3.0890878396888035
1,3.3090693485645435,3.1353375588976578,3.0810620069033563
2,3.3090693485645435,3.130386046734607,3.0810620069033563
3,3.3090693485645435,3.130386046734607,3.0810620069033563
4,3.306994575936886,3.130526442307695,3.0810620069033563
5,3.3094703320184116,3.1290067458360755,3.0810620069033563
6,3.3094703320184116,3.134098653572214,3.0810620069033563
7,3.3146173706991044,3.134098653572214,3.0810620069033563
8,3.3146173706991044,3.134098653572214,3.0810620069033563
9,3.3137486987727396,3.129147141409163,3.0513214305281644
10,3.3041983755204933,3.1321865343524022,3.0482820375849253
11,3.307796268902041,3.1373335730330947,3.0482820375849253
12,3.307796268902041,3.1373335730330947,3.0482820375849253
13,3.307611563116373,3.135796412721896,3.046544693732196
14,2.8294600454744705,2.695765724304187,2.507311322046898
15,2.8293196499013824,2.695765724304187,2.4852329196800347
16,2.8294600454744705,2.685861672693405,2.518574471290817
17,2.8271733097742735,2.685861672693405,2.518574471290817
18,2.8271733097742735,2.685861672693405,2.518574471290817
19,2.8263046378479095,2.685861672693405,2.508280393929432
20,2.8263046378479095,2.686677336730223,2.508280393929432
21,2.823828881766384,2.696581388341005,2.4983773696033307
22,2.823828881766384,2.696972893381549,2.4983773696033307
23,2.8246975536927486,2.6853546460661857,2.4983773696033307
24,2.825610535831691,2.6718571526408077,2.493600632807363
25,2.8258201019066416,2.6718571526408077,2.493600632807363
26,2.8258201019066416,2.6748787393162408,2.493600632807363
27,2.8267761615165474,2.6748787393162408,2.493600632807363
28,2.502614206662284,2.31559335963182,2.217622726276572
29,2.504351550515013,2.31559335963182,2.217903517422748
30,2.4942529996712697,2.31559335963182,2.2232275914968223
31,2.4942529996712697,2.317884409927678,2.219618534955074
32,2.4942529996712697,2.317524860289282,2.219618534955074
33,2.4952620671707217,2.315233809993424,2.222657927898313
34,2.4952620671707217,2.3221549693184294,2.222657927898313
35,2.4952620671707217,2.3221549693184294,2.2356537639710723
36,2.4952620671707217,2.321286297392066,2.2356537639710723
37,2.4952620671707217,2.3237736960333106,2.2356537639710723
38,2.5048281969099286,2.3237736960333106,2.2356537639710723
39,2.5048281969099286,2.3237736960333106,2.2356537639710723
40,2.4899579087223325,2.3237736960333106,2.2459478413324576
41,2.4884382122507134,2.3237736960333106,2.2424731536270004
42,1.9982153668091163,1.9266062965702366,1.7541482303309215
43,1.9972795104646062,1.9274749684966008,1.7541482303309215
44,1.9957598139929864,1.9257573485097499,1.7309192691211912
45,2.0012437472605735,1.9257573485097499,1.719924583607275
46,2.0012437472605735,1.9255726427240827,1.719924583607275
47,2.0180992288516317,1.923855022737232,1.719924583607275
48,2.0180992288516317,1.9313131780078874,1.719924583607275
49,2.0127881670501857,1.9313131780078874,1.719924583607275
50,2.007836654887135,1.9313131780078874,1.719924583607275
51,2.0063169584155154,1.9337889340894128,1.7196437924610992
52,2.0063169584155154,1.9337889340894128,1.7179064486083708
53,2.003414331306158,1.9337889340894128,1.7179064486083708
54,2.003414331306158,1.9179422460552245,1.7187364946307246
55,1.9991467852838039,1.9179422460552245,1.7187364946307246
56,1.9991467852838039,1.922893758218275,1.7187364946307246
57,1.9991467852838039,1.922893758218275,1.7169991507779963
58,1.994767128259916,1.9281059267477514,1.7169991507779963
59,2.000860980988384,1.9149679829607693,1.7169991507779963
60,2.000860980988384,1.9149679829607693,1.7169991507779963
